Dataset,SeriesLength,LengthBin,Estimator,Stage,MeanTime,PctOfTotal
Coffee,286,Medium-short,quant,Classification (inference),0.0047386027671260395,3.4285531021911204
Coffee,286,Medium-short,quant,Classification (training),0.07789710956640186,56.36141913148572
Coffee,286,Medium-short,quant,Transformation (inference),0.02721802369997017,19.693239585187207
Coffee,286,Medium-short,quant,Transformation (training),0.028356250100235483,20.516788181135947
Colposcopy,180,Medium-short,moment_quant_approx,Classification (inference),0.006175327734187349,1.6470776465968555
Colposcopy,180,Medium-short,moment_quant_approx,Classification (training),0.3280214959993221,87.4895870987877
Colposcopy,180,Medium-short,moment_quant_approx,Transformation (inference),0.019373404066330556,5.1672562412334635
Colposcopy,180,Medium-short,moment_quant_approx,Transformation (training),0.021356099865806707,5.6960790133819925
Colposcopy,180,Medium-short,moment_quant_exact,Classification (inference),0.006255707066641917,1.6047845188607794
Colposcopy,180,Medium-short,moment_quant_exact,Classification (training),0.32675667209890286,83.82330617988366
Colposcopy,180,Medium-short,moment_quant_exact,Transformation (inference),0.027092001401858048,6.949945701021263
Colposcopy,180,Medium-short,moment_quant_exact,Transformation (training),0.02971163479912013,7.621963600234301
Colposcopy,180,Medium-short,quant,Classification (inference),0.00647950563240249,1.6169868131819476
Colposcopy,180,Medium-short,quant,Classification (training),0.32700177359899196,81.60461396197975
Colposcopy,180,Medium-short,quant,Transformation (inference),0.03324956666765496,8.297563717940204
Colposcopy,180,Medium-short,quant,Transformation (training),0.03398396386813444,8.480835506898083
Computers,720,Medium-long,moment_quant_approx,Classification (inference),0.008414191699800183,0.6197978465601975
Computers,720,Medium-long,moment_quant_approx,Classification (training),1.1932028541666417,87.8925256171105
Computers,720,Medium-long,moment_quant_approx,Transformation (inference),0.07685171246678991,5.6609746474531875
Computers,720,Medium-long,moment_quant_approx,Transformation (training),0.07910157633280804,5.826701888876122
Computers,720,Medium-long,moment_quant_exact,Classification (inference),0.008382718134816917,0.6581685373255163
Computers,720,Medium-long,moment_quant_exact,Classification (training),1.1335555069679686,89.00103260058934
Computers,720,Medium-long,moment_quant_exact,Transformation (inference),0.06408888739800503,5.031934582455807
Computers,720,Medium-long,moment_quant_exact,Transformation (training),0.06761598336646174,5.308864279629334
Computers,720,Medium-long,quant,Classification (inference),0.008439977934176524,0.6269764659412659
Computers,720,Medium-long,quant,Classification (training),1.127196776366812,83.73550935542883
Computers,720,Medium-long,quant,Transformation (inference),0.1046144749661228,7.771443754012647
Computers,720,Medium-long,quant,Transformation (training),0.10588828196729684,7.866070424617239
Covid3Month_disc,84,Short,moment_quant_approx,Classification (inference),0.005615084768214683,2.511998207498576
Covid3Month_disc,84,Short,moment_quant_approx,Classification (training),0.17721626393322365,79.28053728766648
Covid3Month_disc,84,Short,moment_quant_approx,Transformation (inference),0.017986920765542844,8.046737420106394
Covid3Month_disc,84,Short,moment_quant_approx,Transformation (training),0.022712334633494365,10.160727084728551
Covid3Month_disc,84,Short,moment_quant_exact,Classification (inference),0.005633376400510267,2.6633432887137016
Covid3Month_disc,84,Short,moment_quant_exact,Classification (training),0.16939683193292387,80.0873017143058
Covid3Month_disc,84,Short,moment_quant_exact,Transformation (inference),0.010762965234365112,5.088506285681304
Covid3Month_disc,84,Short,moment_quant_exact,Transformation (training),0.02572204583266279,12.160848711299213
Covid3Month_disc,84,Short,quant,Classification (inference),0.005625773565164573,2.5925641464375446
Covid3Month_disc,84,Short,quant,Classification (training),0.16868419863458253,77.73590607317209
Covid3Month_disc,84,Short,quant,Transformation (inference),0.02004877499906186,9.239215663497944
Covid3Month_disc,84,Short,quant,Transformation (training),0.022637756933787938,10.432314116892414
CricketX,300,Medium-short,moment_quant_approx,Classification (inference),0.01188603319969838,0.6776719902232651
CricketX,300,Medium-short,moment_quant_approx,Classification (training),1.6270073666669,92.76242979912345
CricketX,300,Medium-short,moment_quant_approx,Transformation (inference),0.0567687737331046,3.2366229533351327
CricketX,300,Medium-short,moment_quant_approx,Transformation (training),0.05828861249998828,3.3232752573181528
CricketX,300,Medium-short,moment_quant_exact,Classification (inference),0.011854915300015468,0.6625774397113146
